RHO   : 1.225
NU    : 1.463e-05
B     : 2
U_inf : 7.9
RPM   : 140
power : 195.66057948879254
R_out : 1.42
R_in  : 0.059
N     : 50
M     : 50
dt    : 0.05
thrust: 21.99058177149203
eta   : 0.8878926784776189
optsucess:Optimization terminated successfully
îºåar[m],óÉå∑í∑chord[m],éÊïtäptheta[deg],ó¨ì¸äpphi[deg],å}äpalpha[deg],èzä¬gamma,Re,ógóÕåWêîCL,çRóÕåWêîCD,ó¨ì¸ë¨ìxV,ã«èäógóÕdL,ã«èäçRóÕdD
6.170099999999999474e-01,1.563749115943806334e-01,4.513242290452544836e+01,4.221974162261439290e+01,2.912681281911055908e+00,7.429133515509407371e-01,1.283064568961982004e+05,7.915444728531116914e-01,1.553148272543477398e-02,1.200399376890093528e+01,2.973638249492386310e-01,5.834796740757955576e-03
6.442299999999999693e-01,1.526587475698840957e-01,4.409171673916135603e+01,4.104691740293090163e+01,3.044799336230453513e+00,7.566961854146888600e-01,1.284208135134509357e+05,8.055115971626348736e-01,1.550758210160593786e-02,1.230716569872101296e+01,3.105301706858917821e-01,5.978277822317803851e-03
6.714499999999999913e-01,1.490386301372461086e-01,4.310122964444264682e+01,3.994086756715151409e+01,3.160362077291130056e+00,7.687995864217658237e-01,1.285180145103125105e+05,8.177768328975365542e-01,1.548701700740384192e-02,1.261564569235790678e+01,3.234050774432395414e-01,6.124629279234861286e-03
6.986700000000000133e-01,1.455152932869588911e-01,4.214491861356673041e+01,3.888774212816229436e+01,3.257176485404439159e+00,7.789753984877414439e-01,1.285975072216225963e+05,8.280887058752449681e-01,1.547001919243935417e-02,1.292909829719560122e+01,3.358274477909000688e-01,6.273792923165210332e-03
7.258900000000000352e-01,1.420880775425098497e-01,4.120059612638580404e+01,3.786794228391896411e+01,3.332653842466841265e+00,7.869718034756227887e-01,1.286585988628571940e+05,8.361920308952753844e-01,1.545684189935274400e-02,1.324724307569340276e+01,3.476233072875934971e-01,6.425747080514074457e-03
7.531100000000000572e-01,1.387595003466592369e-01,4.026733301003790189e+01,3.687869519495615833e+01,3.388637815081743110e+00,7.929483802887710153e-01,1.287034916037234943e+05,8.422485205925223095e-01,1.544709338649254311e-02,1.356975253916592905e+01,3.587905978268502993e-01,6.580328412958033960e-03
7.803299999999998571e-01,1.355341518854066007e-01,3.936253993718725752e+01,3.593218748691199238e+01,3.430352450275266474e+00,7.974300496760667878e-01,1.287367341036392172e+05,8.467901144378332523e-01,1.543983823799451212e-02,1.389626447457067471e+01,3.695003701796731876e-01,6.737237300226035959e-03
8.075499999999998790e-01,1.324185409261498247e-01,3.854480967686382797e+01,3.507976836366577089e+01,3.465041313198058859e+00,8.011751347970520465e-01,1.287642407694196299e+05,8.505852751393006006e-01,1.543381101583744287e-02,1.422626189112913586e+01,3.800515175641708820e-01,6.896008512970105975e-03
8.347699999999999010e-01,1.294022977700893806e-01,3.777770296474793099e+01,3.429308177918419176e+01,3.484621185563738788e+00,8.033005671145501125e-01,1.287797426050003123e+05,8.527391266391763924e-01,1.543040460634128100e-02,1.455961498967015899e+01,3.899888351136410747e-01,7.056889181895707915e-03
8.619899999999999229e-01,1.264639379655817519e-01,3.689232944589633689e+01,3.342105479042379557e+01,3.471274655472540438e+00,8.018506450368576566e-01,1.287691761055686948e+05,8.512698176350594892e-01,1.543272727413709695e-02,1.489668182669740837e+01,3.982971825937752230e-01,7.220756175878025734e-03
